,intercept,game,price,year,rank,geek_rtg,avg_rtg,std_dev,num_voters,players,minutes,age,weight,page_views,thematic,strategic,them*strat,all_plays,this_month
1217,1,Progress: Evolution of Technology,39.99,2014,2328,6.034,6.54,1.44,1830,5.0,90.0,12.0,2.42,202782.0,0.0,1.0,0.0,4410.0,8.0
1218,1,Black Gold,99.99,2011,2329,6.032,6.84,1.21,1119,5.0,120.0,13.0,2.59,160625.0,0.0,1.0,0.0,1788.0,2.0
1219,1,Ships,145.0,2015,2331,6.032,6.87,1.4,1056,4.0,120.0,13.0,3.51,184836.0,0.0,1.0,0.0,1935.0,3.0
1220,1,Overbooked,32.74,2018,2333,6.032,7.13,1.17,872,4.0,40.0,8.0,1.92,70555.0,0.0,0.0,0.0,4094.0,74.0
1221,1,City of Remnants,99.99,2013,2335,6.032,6.81,1.61,1190,4.0,90.0,13.0,3.15,225950.0,1.0,0.0,0.0,1644.0,0.0
1222,1,Dungeon Command: Curse of Undeath,179.99,2012,2337,6.031,7.47,1.33,686,2.0,90.0,12.0,2.51,98685.0,0.0,0.0,0.0,738.0,2.0
1223,1,Marvel: Crisis Protocol,99.95,2019,2339,6.031,8.38,1.62,491,2.0,45.0,14.0,2.86,216823.0,0.0,0.0,0.0,1787.0,114.0
1224,1,DC Comics Deck-Building Game: Teen Titans,39.99,2015,2341,6.03,7.23,1.46,829,5.0,75.0,15.0,2.11,76517.0,0.0,1.0,0.0,1646.0,5.0
1225,1,Dojo Kun,20.49,2015,2343,6.029,6.97,1.35,995,4.0,90.0,13.0,2.67,129875.0,0.0,1.0,0.0,1648.0,12.0
1226,1,Axis & Allies: Europe,179.95,1999,2346,6.029,6.52,1.47,2471,4.0,210.0,12.0,2.85,239955.0,0.0,0.0,0.0,1303.0,1.0
1227,1,HeroClix,7.95,2002,2348,6.028,6.51,1.66,2423,2.0,60.0,10.0,2.82,274866.0,0.0,0.0,0.0,11181.0,32.0
1228,1,Entdecker: Exploring New Horizons,28.99,2001,2351,6.028,6.5,1.27,1947,4.0,90.0,10.0,2.45,146160.0,0.0,1.0,0.0,2024.0,0.0
1229,1,Portobello Market,42.98,2007,2352,6.027,6.39,1.19,2478,4.0,35.0,8.0,2.03,168706.0,0.0,1.0,0.0,4698.0,13.0
1230,1,Nightfall: Martial Law,19.99,2011,2353,6.027,7.0,1.53,881,5.0,45.0,12.0,2.74,84791.0,0.0,1.0,0.0,1497.0,2.0
1231,1,Karmaka,65.0,2016,2354,6.027,6.62,1.44,1813,4.0,60.0,13.0,1.9,116139.0,1.0,1.0,1.0,3259.0,8.0
1232,1,Meeple Land,36.98,2020,2355,6.026,7.47,1.06,642,4.0,45.0,8.0,2.06,70323.0,0.0,0.0,0.0,2455.0,177.0
1233,1,Gobblet,20.25,2000,2356,6.026,6.6,1.27,1696,2.0,20.0,7.0,1.85,171148.0,0.0,0.0,0.0,7751.0,17.0
1234,1,Spaceteam,26.95,2015,2357,6.026,6.66,1.45,1539,6.0,5.0,10.0,1.09,134918.0,0.0,0.0,0.0,6186.0,18.0
1235,1,The Red Dragon Inn 5: The Character Trove,42.47,2015,2359,6.026,7.62,1.61,677,4.0,60.0,13.0,2.0,66033.0,0.0,0.0,0.0,798.0,6.0
1236,1,Planet Apocalypse,79.95,2020,2362,6.024,8.12,1.65,482,5.0,90.0,14.0,3.07,201134.0,1.0,1.0,1.0,1100.0,18.0
1237,1,Queen's Necklace,16.49,2003,2363,6.024,6.41,1.25,2434,4.0,45.0,8.0,1.9,170831.0,0.0,0.0,0.0,4084.0,13.0
1238,1,Boggle,39.95,1972,2364,6.024,6.21,1.59,7214,8.0,10.0,8.0,1.48,274603.0,0.0,0.0,0.0,25184.0,112.0
1239,1,Africana,95.99,2012,2369,6.023,6.71,1.2,1294,4.0,60.0,8.0,2.02,180417.0,0.0,0.0,0.0,2960.0,7.0
1240,1,Scattergories,12.0,1988,2370,6.023,6.21,1.45,8844,6.0,30.0,12.0,1.37,345306.0,0.0,0.0,0.0,15901.0,48.0
1241,1,Cavern Tavern,43.66,2016,2374,6.023,6.93,1.54,1078,6.0,120.0,13.0,2.42,131100.0,0.0,1.0,0.0,2380.0,8.0
1242,1,First Contact,23.25,2018,2375,6.023,7.07,1.33,838,7.0,40.0,12.0,2.13,70101.0,0.0,0.0,0.0,2695.0,43.0
1243,1,Taco Cat Goat Cheese Pizza,10.0,2018,2376,6.022,6.89,1.61,1215,8.0,30.0,8.0,1.03,76156.0,0.0,0.0,0.0,6087.0,217.0
1244,1,Joraku,16.57,2015,2378,6.022,7.04,1.26,840,4.0,60.0,12.0,2.14,94606.0,0.0,1.0,0.0,1863.0,27.0
1245,1,Sonar,16.14,2017,2379,6.022,6.73,1.22,1220,4.0,30.0,8.0,1.91,155893.0,0.0,0.0,0.0,2709.0,22.0
1246,1,Secrets,24.99,2017,2384,6.021,6.49,1.37,1951,8.0,35.0,10.0,1.44,151166.0,0.0,0.0,0.0,5741.0,28.0
1247,1,Star Wars: Destiny – Two-Player Game,13.36,2017,2385,6.021,7.15,1.46,812,2.0,30.0,10.0,2.25,54845.0,0.0,0.0,0.0,2385.0,9.0
1248,1,The Manhattan Project 2: Minutes to Midnight,49.95,2018,2392,6.018,7.35,1.46,652,5.0,150.0,13.0,3.58,123696.0,0.0,1.0,0.0,1208.0,4.0
1249,1,Skytear,60.0,2020,2400,6.015,8.35,1.68,630,4.0,45.0,13.0,3.13,141982.0,0.0,1.0,0.0,1286.0,24.0
1250,1,The World of Smog: On Her Majesty's Service,32.0,2015,2604,5.977,6.83,1.43,987,4.0,60.0,14.0,2.47,139756.0,0.0,1.0,0.0,1631.0,3.0
1251,1,Roll Through the Ages: The Iron Age,76.94,2014,2605,5.977,6.63,1.28,1180,4.0,60.0,10.0,2.22,131989.0,0.0,1.0,0.0,3330.0,11.0
1252,1,Timeline,9.99,2012,2611,5.975,6.46,1.23,1710,8.0,15.0,8.0,1.16,147312.0,0.0,0.0,0.0,9268.0,69.0
1253,1,Triassic Terror,49.99,2013,2615,5.975,6.95,1.28,823,6.0,120.0,14.0,2.87,138082.0,0.0,1.0,0.0,1521.0,4.0
1254,1,Pokémon Trading Card Game,10.97,1996,2617,5.975,6.27,1.64,3625,2.0,20.0,6.0,2.0,190632.0,0.0,0.0,0.0,32883.0,200.0
1255,1,Maglev Metro,69.95,2021,2618,5.974,7.31,1.29,610,4.0,90.0,14.0,2.9,98170.0,0.0,0.0,0.0,1720.0,131.0
1256,1,History of the World,27.67,2018,2620,5.974,7.42,1.39,554,6.0,180.0,14.0,2.55,146494.0,1.0,0.0,0.0,1062.0,15.0
1257,1,First Orchard,29.99,2009,2621,5.974,6.74,1.5,1085,4.0,10.0,2.0,1.0,77853.0,0.0,0.0,0.0,13500.0,130.0
1258,1,The Great Fire of London 1666,59.95,2010,2622,5.974,6.5,1.29,1509,6.0,120.0,12.0,2.55,231596.0,0.0,1.0,0.0,2565.0,6.0
1259,1,Baltimore & Ohio,149.95,2009,2623,5.974,7.18,1.48,623,6.0,120.0,13.0,3.76,121511.0,0.0,1.0,0.0,1340.0,3.0
1260,1,Origin,50.16,2013,2624,5.974,6.67,1.18,1140,4.0,60.0,8.0,2.15,142324.0,0.0,1.0,0.0,2361.0,9.0
1261,1,Codex Naturalis,14.99,2021,2627,5.972,7.2,1.26,699,4.0,30.0,7.0,1.93,48574.0,0.0,0.0,0.0,4048.0,519.0
1262,1,Stratego,44.95,1946,2632,5.972,6.1,1.38,14220,2.0,45.0,8.0,1.85,565627.0,0.0,0.0,0.0,19529.0,70.0
1263,1,Divvy Dice,14.99,2020,2633,5.971,6.96,1.21,803,4.0,30.0,8.0,2.09,50648.0,0.0,0.0,0.0,5384.0,105.0
1264,1,Industria,33.85,2003,2634,5.971,6.44,1.31,1768,4.0,60.0,10.0,2.67,149898.0,0.0,1.0,0.0,2132.0,0.0
1265,1,Rum & Pirates,149.99,2006,2636,5.971,6.44,1.3,1764,5.0,60.0,9.0,1.95,168542.0,0.0,0.0,0.0,3637.0,9.0
1266,1,Unicorn Fever,39.99,2020,2638,5.971,7.28,1.4,658,6.0,40.0,14.0,2.13,78507.0,0.0,0.0,0.0,1498.0,54.0
1267,1,Marvel Villainous: Infinite Power,34.99,2020,2646,5.97,7.06,1.47,881,4.0,80.0,12.0,2.68,179163.0,0.0,0.0,0.0,1961.0,75.0
1268,1,Warhammer Underworlds: Beastgrave,63.75,2019,2650,5.969,8.19,1.24,405,4.0,30.0,12.0,3.27,43133.0,0.0,0.0,0.0,2392.0,7.0
1269,1,Cities: Skylines – The Board Game,45.88,2019,2654,5.968,6.77,1.41,1021,4.0,70.0,10.0,2.36,133600.0,0.0,0.0,0.0,2652.0,26.0
1270,1,Illimat,35.0,2017,2657,5.968,7.4,1.67,709,4.0,60.0,12.0,2.0,75790.0,0.0,0.0,0.0,2096.0,16.0
1271,1,Resident Evil Deck Building Game,197.99,2010,2661,5.967,6.57,1.65,1798,4.0,30.0,13.0,2.28,329889.0,0.0,0.0,0.0,4033.0,1.0
1272,1,Beasts of Balance,79.0,2016,2662,5.966,6.95,1.51,862,5.0,30.0,7.0,1.09,102408.0,0.0,0.0,0.0,5578.0,43.0
1273,1,Spy Club,54.63,2018,2664,5.966,7.08,1.29,708,4.0,45.0,10.0,2.16,93590.0,0.0,0.0,0.0,2976.0,5.0
1274,1,Dungeons & Dragons: Rock Paper Wizard,19.99,2016,2670,5.964,6.66,1.38,1203,6.0,30.0,14.0,1.36,83851.0,0.0,0.0,0.0,3028.0,20.0
1275,1,Praetor,29.99,2014,2676,5.963,6.58,1.37,1314,5.0,75.0,12.0,3.0,190521.0,0.0,1.0,0.0,2169.0,1.0
1276,1,Exploding Kittens: NSFW Deck,19.99,2015,2677,5.963,6.23,1.78,8158,5.0,20.0,18.0,1.08,179232.0,0.0,0.0,0.0,14509.0,110.0
1277,1,Smash Up: Munchkin,33.01,2015,2679,5.962,6.6,1.72,1389,4.0,45.0,12.0,2.18,111765.0,0.0,1.0,0.0,885.0,1.0
1278,1,Lawyer Up,35.17,2021,2682,5.962,7.3,1.29,596,2.0,75.0,13.0,2.72,104722.0,0.0,0.0,0.0,1261.0,96.0
1279,1,Tiny Epic Defenders,49.36,2015,2685,5.961,6.29,1.43,2577,4.0,30.0,13.0,1.81,291793.0,0.0,1.0,0.0,6313.0,14.0
1280,1,Skies Above the Reich,240.0,2018,2687,5.961,8.26,1.38,401,2.0,60.0,12.0,3.09,195542.0,0.0,0.0,0.0,1296.0,8.0
1281,1,Riftforce,29.95,2021,2697,5.96,7.73,1.14,470,2.0,30.0,10.0,2.3,55144.0,0.0,0.0,0.0,1850.0,158.0
1282,1,Trekking the National Parks: Second Edition,50.0,2018,2699,5.959,7.15,1.28,706,5.0,60.0,10.0,1.73,69647.0,0.0,0.0,0.0,2076.0,29.0
1283,1,Runewars Miniatures Game,35.56,2017,2703,5.959,7.64,1.75,591,2.0,90.0,14.0,3.06,255532.0,0.0,0.0,0.0,1154.0,7.0
1284,1,Clue Master Detective,21.97,1988,2705,5.958,6.62,1.52,1328,10.0,60.0,8.0,1.85,162031.0,0.0,0.0,0.0,1621.0,3.0
1285,1,Dungeon Roll,20.95,2013,2706,5.958,6.11,1.42,7767,4.0,15.0,8.0,1.33,524544.0,0.0,0.0,0.0,28744.0,66.0
1286,1,Myth,199.99,2014,2707,5.958,6.63,2.3,1631,5.0,120.0,12.0,3.82,1490981.0,1.0,0.0,0.0,3025.0,0.0
1287,1,Terra Nova,45.37,2006,2709,5.957,6.42,1.25,1666,4.0,45.0,10.0,2.26,143782.0,0.0,0.0,0.0,3147.0,7.0
